,Title,Year,Genre,Plot,Kind,Gross,lemmatized_Plot
3400,Operation Balikatan,2003,"Action, Drama, War",American G.I.s and Philippine marines team up to rescue a U.S. senator who has been kidnapped by terrorists and taken to a Malaysian island.,movie,,"['american', 'gis', 'philippine', 'marine', 'team', 'rescue', 'senator', 'kidnap', 'terrorist', 'take', 'malaysian', 'island']"
3408,Spirit of the Glass,2004,"Fantasy, Horror, Romance","At her family's remote ancestral home, Kelly (Rica Peralejo), her boyfriend, Choppy (Dingdong Dantes), and a group of their pals fight boredom by dabbling in a supernatural game called Spirit of the glass.",movie,,"['familys', 'remote', 'ancestral', 'home', 'kelly', 'rica', 'peralejo', 'boyfriend', 'choppy', 'dingdong_dante', 'group', 'pal', 'fight', 'boredom', 'dabble', 'supernatural', 'game', 'call', 'spirit', 'glass']"
3411,Ang lihim ni Antonio,2008,"Crime, Drama","Adolescent curiosities and sexual explorations of a 15-year-old boy named Antonio who's just coming to terms with his sexuality. Through Antonio's mother and friends, we get an interesting look at what people in Manila think about homosexuality and gay people. Antonio's life takes a turn when his uncle comes to stay with him and his mother.Written byAkash Sebastian",movie,,"['adolescent', 'curiosity', 'sexual', 'exploration', 'boy', 'name', 'come', 'term', 'sexuality', 'antonio', 'mother', 'friend', 'get', 'interesting', 'look', 'people', 'manila', 'think', 'homosexuality', 'gay', 'people', 'antonio', 'life', 'take', 'turn', 'uncle', 'come', 'stay', 'mother']"
3413,Adela,2008,Drama,"Adela celebrates her 80th birthday in the slums of Manila. Alone and without support, she longs for the family and stability of years gone by. Mundane events take on heightened meaning as Adela gauges her life against those of the sea of huWritten byAnonymous",movie,,"['celebrate', 'slum', 'manila', 'alone', 'support', 'long', 'family', 'stability', 'year', 'go', 'mundane', 'event', 'take', 'heightened', 'meaning', 'gauge', 'life', 'sea']"
3414,Talipandas,1958,"Action, Drama","When her mother dies from a beating by Raul (Van de Leon), the father who had abandoned them even before she was born, Esperanza (Rita Gomez) vows to seek out Raul and try to avenge her mother's death. Esperanza starts working as a cabaret singer and soon she has many suitors, among them, Raul, whom she does not recognize and who now goes under the alias of George. Esperanza also meets Bien (Luis Gonzales), a young man who is feuding with Andy (Carlos Salazar), his brother, for whom he had served time in prison but who repaid him by stealing his fiancée. Esperanza fights against her growing love for Bien, wanting to devote all her time to finding Raul. She starts to suspect that George is really Raul and lays trap for him. This causes a misunderstanding with Bien who leaves her. Not knowing that Esperanza is his daughter, Raul also lays plans to possess her, with the aid of his men, among them, Andy. The story reaches a tense climax with Esperanza, Bien, Raul and Andy coming face to ...Written byCombat Boots Everyday",movie,,"['mother', 'die', 'beat', 'father', 'abandon', 'even', 'bear', 'esperanza', 'rita', 'gomez', 'vow', 'seek', 'raul', 'try', 'avenge', 'mother', 'death', 'esperanza', 'start', 'work', 'cabaret', 'singer', 'soon', 'many', 'suitor', 'recognize', 'go', 'alias', 'george', 'esperanza', 'also', 'meet', 'young', 'man', 'feud', 'brother', 'serve', 'time', 'prison', 'repay', 'steal', 'fiancée', 'fight', 'grow', 'love', 'want', 'devote', 'time', 'find', 'raul', 'start', 'suspect', 'george', 'really', 'lay', 'trap', 'cause', 'misunderstanding', 'leave', 'know', 'daughter', 'raul', 'also', 'lay', 'plan', 'possess', 'aid', 'man', 'story', 'reach', 'tense', 'climax', 'andy', 'come', 'face']"
3415,Abakada... Ina,2001,Drama,"Abakada ina is a film dedicated to all women who strive to be the best for their children. It is about an illiterate woman named Estella who married Daniel and had three beautiful daughters. Since Estella had stopped studying when she was still a child, she always had an argue with her mother-in-law named Matilda. Matilda loves her grandchildren very much that she didn't want them to become illiterate like their mother. Matilda taught everything she knew to Estella's children. She tried to be a mother to them. Matilda wanted to raise them the way she raised her children, Daniel and Jojo. Because of this, Estella felt that she doesn't have a place in them, that she cannot do anything but to sell in the market. Daniel came back home from his work on the ship and he tried to live with his family away from his mother. It was a very tough decision for them but they did it because they believe that they could fulfill their dreams in a place far from where they grew up. Unfortunately, many ...Written byAlduke Huang",movie,,"['abakada', 'ina', 'film', 'dedicated', 'woman', 'strive', 'good', 'child', 'illiterate', 'woman', 'name', 'marry', 'beautiful', 'daughter', 'estella', 'stop', 'study', 'still', 'child', 'always', 'argue', 'motherinlaw', 'name', 'love', 'grandchild', 'much', 'become', 'illiterate', 'mother', 'teach', 'know', 'estellas', 'child', 'try', 'mother', 'want', 'raise', 'way', 'raise', 'child', 'jojo', 'estella', 'feel', 'place', 'can_not', 'sell', 'market', 'come', 'back', 'home', 'work', 'ship', 'try', 'live', 'family', 'away', 'mother', 'tough', 'decision', 'believe', 'fulfill', 'dream', 'place', 'far', 'grow', 'unfortunately', 'many']"
3416,Ang pumatay nang dahil sa'yo!,1989,Action,Sergeant Emilio Sanchez (Chuck Perez) is a dedicated military man. He believes that Filipinos should stand on their own and not be taken by the Americans.,movie,,"['sergeant', 'sanchez', 'chuck', 'dedicated', 'military', 'man', 'believe', 'filipino', 'stand', 'take', 'american']"
3417,Apple of My Eye,2019,"Drama, Romance",A girl who wishes for a traditional relationship free from technology finds love in a boy who happens to be a web developer. Will the boy bow down to the girl's tech free whim or will the girl embrace the very thing she vowed to avoid?,movie,,"['girl', 'wish', 'traditional', 'relationship', 'free', 'technology', 'find', 'love', 'boy', 'happen', 'web', 'developer', 'boy', 'bow', 'girl', 'tech', 'free', 'whim', 'girl', 'embrace', 'thing', 'vow', 'avoid']"
3418,Gamitan,2002,"Action, Crime, Drama","Cathy, a young and innocent freshman, had a crush on senior hunk, Nick, the campus' basketball star. One day, he came to her and asked her to have dinner and drive her home. One thing led to another until she ended up giving her virginity not knowing that he made a bet with his friends. He dumped her right after he got what he wanted without any explanation. Filled with hatred she seduced Louie, her classmate who had a crush on her, to get back at him - and as a favor she would go to bed with him. Things got out of hand and led to a tragic ending.Written byfab-one",movie,,"['young', 'innocent', 'freshman', 'crush', 'senior', 'hunk', 'nick', 'campus', 'basketball', 'star', 'day', 'ask', 'dinner', 'drive', 'home', 'thing', 'lead', 'end', 'give', 'virginity', 'knowing', 'make', 'bet', 'friend', 'dump', 'right', 'want', 'explanation', 'fill', 'hatred', 'seduce', 'classmate', 'crush', 'get', 'back', 'favor', 'go', 'bed', 'thing', 'get', 'hand', 'lead', 'tragic', 'ending']"
3422,Hari ng selda: Anak ni Baby Ama 2,2002,Action,"Anghel and Angelica are two people from two different worlds. Anghel is serving his sentence and is confined in the National Penitentiary while Angelica is a graduating student at the prime of her life. When she goes to the Penitentiary, she sees Anghel and is intrigued by him. She learns that he is well respected by his mates and that his word is considered as law inside the Billibid. At first, Anghel is annoyed by her presence but he later grows fond of her. Eventually, the people around them notice the understanding and try to keep them apart.Written byledster",movie,,"['people', 'different', 'world', 'anghel', 'serve', 'sentence', 'confine', 'national', 'penitentiary', 'angelica', 'graduate', 'student', 'prime', 'life', 'go', 'penitentiary', 'see', 'intrigue', 'learn', 'well', 'respect', 'mate', 'word', 'consider', 'law', 'billibid', 'first', 'annoy', 'presence', 'later', 'grow', 'fond', 'eventually', 'people', 'notice', 'understanding', 'try', 'keep', 'apart']"
3428,Rakenrol,2011,"Comedy, Music","Odie and his best friend Irene are two outsiders who find a second home in the Philippine underground music scene. The two decide to form a band and put together an unlikely crew that consists of the school bully, an ex-punk-turned-barista, and a former-childstar-turned-band-manager. The film follows their misadventures as they face satanic S&M bands, samurai swindlers, narcissistic rockstars, the pretentious Philippine art community and the freakiest music video auteur ever. Co-written by Diego Castillo, the guitarist of one of the Philippines' biggest rock bands SANDWICH, and directed by multi-awarded music video director Quark Henares, Rakenrol is a heartfelt ode to the underground scene both filmmakers spent their formative years in.Written byAnonymous",movie,,"['odie', 'best_friend', 'irene', 'outsider', 'find', 'second', 'home', 'philippine', 'underground', 'music', 'scene', 'decide', 'form', 'band', 'put', 'together', 'unlikely', 'crew', 'consist', 'school', 'bully', 'expunkturnedbarista', 'formerchildstarturnedbandmanager', 'film', 'follow', 'misadventure', 'face', 'satanic', 'sm', 'band', 'samurai', 'swindler', 'narcissistic', 'rockstar', 'pretentious', 'philippine', 'art', 'community', 'freaky', 'music', 'video', 'auteur', 'ever', 'co']"
3429,Forever and a Day,2011,Drama,"Eugene (Sam Milby) arrives in Bukidnon with only one intention: to forget his problems at work. But when he meets Raffy (KC Concepcion) and as they travel and go on ridiculous and death-defying activities together, they start to form a friendship that goes beyond Euge's original plan. Raffy helps Euge appreciate himself more and to look at things in a positive way. With Raffy, Euge begins to believe in himself again. Soon, against his own expectations, he admits to himself that has fallen in love with this girl. But life is truly ironic. The moment Euge expresses his feelings for her, Raffy suddenly starts to push him away. She admits that he can never have her, and she doesn't want Eugene to hope for a happy ending with her, because she cannot be loved. Now, it is Euge's turn to make Raffy believe in love again, just as how she reminded him to believe in himself. But is faith enough to change the course of their destiny? And is his love strong enough for him to sacrifice everything ...Written byAnonymous",movie,"$1,049,218","['eugene', 'arrive', 'bukidnon', 'intention', 'forget', 'problem', 'work', 'meet', 'concepcion', 'travel', 'go', 'ridiculous', 'deathdefying', 'activity', 'together', 'start', 'form', 'friendship', 'go', 'euge', 'original', 'plan', 'raffy', 'help', 'euge', 'appreciate', 'look', 'thing', 'positive', 'way', 'raffy', 'believe', 'soon', 'expectation', 'admit', 'fall', 'love', 'girl', 'life', 'truly', 'ironic', 'moment', 'express', 'feeling', 'raffy', 'suddenly', 'start', 'push', 'away', 'admit', 'never', 'want', 'eugene', 'hope', 'happy', 'end', 'can_not', 'love', 'euge', 'make', 'raffy', 'believe', 'love', 'remind', 'believe', 'faith', 'enough', 'change', 'course', 'destiny', 'love', 'strong', 'enough', 'sacrifice']"
3433,Anak ni Baby Ama,1990,"Action, Drama","After knowing his true identity, Anghel took the path of crime and violence. After some series of personal tragedies he decided to seek revenge that would lead him behind bars.",movie,,"['know', 'true', 'identity', 'take', 'path', 'crime', 'violence', 'series', 'personal', 'tragedy', 'decide', 'seek', 'revenge', 'lead', 'behind_bar']"
3436,Resureksyon,2015,Horror,"Mara (Isabelle Daza), an OFW who will die a mysterious death while abroad. When her corpse is brought home for burial, strange deaths also loomed in their hometown.",movie,,"['mara', 'isabelle', 'ofw', 'die', 'mysterious', 'death', 'abroad', 'corpse', 'bring', 'home', 'burial', 'strange', 'death', 'also', 'loom', 'hometown']"
3438,The Ghosting,2019,Horror,"It is inspired by the Solante local lore about a little girl carrying a headless doll who asks passersby to help her get home. In the movie, Ken knows that Grace met the little girl but thinks nothing of it and refuses that the house or curse is real. He starts doubting as weird deaths occur in his neighborhood and Grace suddenly disappears.",movie,,"['inspire', 'solante', 'local', 'lore', 'little', 'girl', 'carry', 'headless', 'doll', 'ask', 'passersby', 'get', 'home', 'movie', 'ken', 'know', 'grace', 'meet', 'little', 'girl', 'refuse', 'house', 'curse', 'real', 'start', 'doubt', 'weird', 'death', 'occur', 'neighborhood', 'grace', 'suddenly', 'disappear']"
3446,Abandoned,2019,Horror,"Simone (Beauty Gonzalez) is a single mother and a security guard who suffers from post-traumatic stress disorder because of a robbery that killed her colleagues during their duty. She lives with her teenage son, Rj (Seth Fedelin), whom she works hard for. After the unfortunate incident, she was assigned by her agency to guard an abandoned building which is believed to be haunted by disturbing spiritual elements. Strange events soon occur during her shifts, making her reminisce the painful past that immediately takes a toll on her and her son's life.Written byiWant",movie,,"['simone', 'beauty', 'single', 'mother', 'suffer', 'posttraumatic', 'stress', 'disorder', 'robbery', 'kill', 'colleague', 'duty', 'life', 'teenage', 'son', 'rj', 'fedelin', 'work', 'hard', 'unfortunate', 'incident', 'assign', 'agency', 'guard', 'abandon', 'building', 'believe', 'haunt', 'disturbing', 'spiritual', 'element', 'strange', 'event', 'soon', 'occur', 'shift', 'make', 'reminisce', 'painful', 'past', 'immediately', 'take', 'toll', 'son', 'life']"
3447,Palabra de honor,1983,Drama,Eddie Garcia headed this all-star cast in a searing drama about a millionaire patriarch and the power he wielded among the people in an entire town.,movie,,"['head', 'allstar', 'cast', 'searing', 'drama', 'millionaire', 'patriarch', 'power', 'wield', 'people', 'entire', 'town']"
3454,Patikim ng pinya,1996,"Comedy, Drama","This is the story of a seductive woman, Myra (Rosanna Roces), who as a fruit vendor finds it to her advantage to be charming and gracious to men. But it is to a young stranger with whom she falls in love at first sight that she will experience sweet sorrow that will take everything she has to survive.Written byCombat Boots Everyday",movie,,"['story', 'seductive', 'woman', 'roce', 'fruit', 'vendor', 'find', 'advantage', 'charming', 'gracious', 'man', 'young', 'stranger', 'fall', 'love', 'first', 'sight', 'experience', 'sweet', 'sorrow', 'take', 'survive']"
3458,Eye of the Eagle 2: Inside the Enemy,1989,"Action, Adventure, Romance","When soldier Anthony Glenn discovers that Mai is missing, he sets out to rescue her from the corrupt Major Sorenson pitting soldier against soldier in a bloody game of honor.",movie,,"['soldier', 'anthony', 'discover', 'mai', 'miss', 'set', 'rescue', 'corrupt', 'major', 'sorenson', 'pit', 'soldier', 'soldier', 'bloody', 'game', 'honor']"
3459,Ruweda,2012,"Short, Drama","Three people cross paths at a local town carnival, each with something to gain and to lose. One of them acquires it, the other two pay the price.",movie,,"['people', 'local', 'town', 'carnival', 'gain', 'lose', 'acquire', 'pay', 'price']"
3460,Ang misis ni meyor,2013,Drama,"MELBA is the wife of a slain farmer-leader whose murder is attributed to an incumbent governor. She goes to the city to appeal the case and to seek out a new life after the tragedy. Working as a staff member at the office of City Councilor MARTIN MORALES, she is introduced to the life inside politics. Eventually she will be deeply involved, as her decision to marry the budding politician lays a carefully planned agenda.Written byarchie del mundo",movie,,"['melba', 'wife', 'slay', 'farmerleader', 'murder', 'attribute', 'incumbent', 'governor', 'go', 'city', 'appeal', 'case', 'seek', 'new', 'life', 'tragedy', 'work', 'staff', 'member', 'office', 'city', 'councilor', 'morale', 'introduce', 'life', 'politic', 'eventually', 'deeply', 'involve', 'decision', 'marry', 'bud', 'politician', 'lay', 'carefully', 'plan', 'agenda']"
3462,"Pare, mahal mo raw ako",2016,"Comedy, Romance",Two male best friends have their relationship tested when it turns out that one is in love with the other.,movie,,"['male', 'relationship', 'test', 'turn', 'love']"
3464,Temptation of Wife,2012,"Drama, Romance, Thriller","Angeline and Heidi share a deep bond of friendship ever since Heidi was orphaned and was taken under the custody of Angeline's parents, Abner and Minda. Angeline grows up responsible and compassionate while Heidi, fueled by ambition and envy, secretly detests Angeline and always feels inferior next to her. Many boys are attracted to Angeline but she falls in love with Marcel. It doesn't take long before Angeline becomes pregnant and gives up on her dreams of becoming a nurse in order to marry Marcel. Although their marriage is void of happiness, Angeline tries to be an excellent wife to her husband, and takes good care of her in-laws, Romeo and Stella. However, she soon learns that the life she chose is full of lies and betrayals. Adding to her woes is her unexpected miscarriage. She soon discovers that Marcel is cheating on her and shocked to learn of Heidi's treachery. Angeline is devastated by the thought of being betrayed by the two people closest to her heart. Marcel decides to ...Written byWikipedia",tv,,"['heidi', 'share', 'deep', 'bond', 'friendship', 'ever', 'heidi', 'orphan', 'take', 'custody', 'angeline', 'parent', 'abner', 'minda', 'angeline', 'grow', 'responsible', 'compassionate', 'heidi', 'fuel', 'ambition', 'envy', 'secretly', 'detest', 'always', 'feel', 'inferior', 'next', 'many', 'boy', 'attract', 'fall', 'love', 'take', 'long', 'angeline', 'become', 'pregnant', 'give', 'dreams_become', 'nurse', 'order', 'marry', 'marcel', 'marriage', 'void', 'happiness', 'angeline', 'try', 'excellent', 'wife', 'husband', 'take', 'good', 'care', 'inlaw', 'romeo', 'stella', 'however', 'soon', 'learn', 'life', 'choose', 'full', 'lie', 'betrayal', 'add', 'woe', 'unexpected', 'miscarriage', 'soon', 'discover', 'marcel', 'cheat', 'shocked', 'learn', 'heidis', 'treachery', 'angeline', 'devastate', 'thought', 'betray', 'people', 'close', 'heart', 'marcel', 'decide']"
3465,So It's You,2014,"Comedy, Romance","A pair of broken-hearted people meet and begin a relationship, but their painful pasts hang over their romance.",movie,"$605,209","['pair', 'brokenhearted', 'people', 'meet', 'begin', 'relationship', 'painful', 'past', 'hang', 'romance']"
3466,Banyo Queen,2001,"Comedy, Horror","Angelie (Rica Peralejo) comes from a family of sorcerers. As a tradition, everyone should have a virgin sacrifice before their 18th birthday to escape the curse. With the help of her aunt Chada (Mystica), she hunts a virgin to stay alive.",movie,,"['angelie', 'rica', 'peralejo', 'come', 'family', 'sorcerer', 'tradition', 'virgin', 'sacrifice', 'th_birthday', 'escape', 'curse', 'help', 'aunt', 'chada', 'mystica', 'hunt', 'virgin', 'stay', 'alive']"
3467,Ayos na... ang kasunod,2000,"Action, Comedy","The story of two people leading two different lives. Ramon (FPJ) is a delivery truck driver while Amor (ARA MINA) owns a neighborhood kitchenette. He is looking for the perfect partner. Her seven goon-like brothers are guarding her. When they meet, it's love at first sight.Written byledster",movie,,"['story', 'people', 'lead', 'different', 'life', 'delivery', 'truck', 'driver', 'own', 'neighborhood', 'kitchenette', 'look', 'perfect', 'partner', 'goonlike', 'brother', 'guard', 'meet', 'love', 'first', 'sight']"
3469,Gawa na ang bala para sa akin,1989,Comedy,"After being diagnosed of a chronic illness, Nanding decided to end his life by hiring a killer. Things become out of hand after knowing that he is just misdiagnosis and it is now up to him to stop the killer.",movie,,"['diagnose', 'chronic', 'illness', 'nanding', 'decide', 'end', 'life', 'hire', 'killer', 'thing', 'become', 'hand', 'know', 'misdiagnosis', 'stop', 'killer']"
3471,Must Date the Playboy,2015,"Comedy, Romance","Zach (Xian Lim) is a playboy who breaks up with all of his girlfriends. Chloe (Jessy Mendiola), his current girlfriend, catches him dancing with another girl. Tori (Kim Chiu) is Chloe's overprotective best friend. Chloe asks Tori to do her a favor: she wants her to date Zach. Will Tori and Zach fall in love with each other?",movie,,"['zach', 'playboy', 'break', 'girlfriend', 'chloe', 'current', 'girlfriend', 'catch', 'dance', 'girl', 'tori', 'kim_chiu', 'chloe', 'overprotective', 'chloe', 'ask', 'tori', 'favor', 'want', 'date', 'zach', 'tori', 'zach', 'fall', 'love']"
3474,Patient X,2009,"Horror, Thriller","After twenty years, local police captures the murderer of the older brother of a young boy. Now a doctor, he must go back to his old town and face the murderers himself. He then discovers that the murderers are Aswangs (folkloric Filipino vampire-like creatures) and they pose a deadly threat not only to him but also for the entire town.Written byAnonymous",movie,"$525,732","['twenty_year', 'local', 'police', 'capture', 'murderer', 'young', 'boy', 'doctor', 'go', 'back', 'old', 'town', 'face', 'murderer', 'discover', 'murderer', 'aswang', 'folkloric', 'filipino', 'vampirelike', 'creature', 'pose', 'deadly', 'threat', 'also', 'entire', 'town']"
3475,Pinoy Kamasutra 2,2008,Documentary,"A woman wanting to feel alive... secure... and feel pleasure again rediscovers heated passion beyond one's wildest imagination... Exciting. Electrifying. Erotic. Myles is a woman in need of sexual healing until she comes across an erotic email sent to her. Echo is a sexually active email sender in search of the ultimate amorous encounter. While in hot pursuit to unravel the identity of her erotic e-mate, she's also bound to discover her hidden carnal creature- her sexual alter ego. As the two become constant chat mates. Myles hunger for passion is finally reawakened. Aided by the four fundamental elements: fire, water, earth and air, the two explore each others lustful cravings far beyond their wildest imagination. Too bold to behold, Pinoy Kamasutra 2 is packed with lusty, steamy segments and erotic positions, and shows you how the Internet has truly become one vital tool for sexual pleasure.Written byAnonymous",movie,,"['woman', 'want', 'feel', 'alive', 'secure', 'feel', 'pleasure', 'heat', 'passion', 'one', 'wildest', 'imagination', 'exciting', 'electrifying', 'erotic', 'myle', 'woman', 'need', 'sexual', 'healing', 'come', 'erotic', 'email', 'send', 'echo', 'sexually', 'active', 'email', 'sender', 'search', 'ultimate', 'amorous', 'encounter', 'hot', 'pursuit', 'unravel', 'identity', 'erotic', 'emate', 'also', 'bind', 'discover', 'hide', 'carnal', 'creature', 'sexual', 'alter', 'ego', 'become', 'constant', 'chat', 'mate', 'myle', 'hunger', 'passion', 'finally', 'reawaken', 'aid', 'fundamental', 'element', 'fire', 'water', 'earth', 'air', 'explore', 'other', 'lustful', 'craving', 'far', 'wildest', 'imagination', 'bold', 'behold', 'pinoy', 'kamasutra', 'pack', 'lusty', 'steamy', 'segment', 'erotic', 'position', 'show', 'internet', 'truly', 'become', 'vital', 'tool', 'sexual', 'pleasure']"
3476,Isla sto.Niño,1982,War,THE FILM REPRISES THE STORY THE STORY OF THE MASSACRE OF THE INNOCENTS. LITO LAPID PLAYS THE ROLE OF A PEASANT WHO LEADS THE RESCUE OF THE INFANTS FROM THE HANDS OF AMERICAN SOLDIERS.,movie,,"['film', 'reprise', 'story', 'story', 'massacre', 'innocent', 'plays_role', 'peasant', 'lead', 'rescue', 'infant', 'hand', 'american', 'soldier']"
3477,Impaktita,1989,Horror,The people of a small Filipino village believe they have an evil creature called an Impaktita living among them.,movie,,"['people', 'small', 'filipino', 'village', 'believe', 'evil', 'creature', 'call', 'impaktita', 'live']"
3482,Pepito Manaloto,2010,Comedy,A live situational comedy show that revolves around a family that wins a natural lottery. It is about how the family handles the changes after winning a huge amount of money.,tv,,"['live', 'situational', 'comedy', 'show', 'family', 'win', 'natural', 'lottery', 'family', 'handle', 'change', 'win', 'huge', 'amount', 'money']"
3483,My Pledge of Love,1999,"Drama, Romance","Spunky and adventurous, Raida (Judy Ann Santos), heads off to Manila for two reasons: to visit her godmother, and to meet with Ariel (Wowie de Guzman), her pen pal. But strange things happen on her way to the big city.",movie,,"['spunky', 'adventurous', 'raida', 'head', 'manila', 'reason', 'visit', 'godmother', 'meet', 'wowie', 'guzman', 'pen', 'pal', 'strange', 'thing', 'happen', 'way', 'big', 'city']"
3487,Hinugot sa langit,1985,Drama,"The young unmarried but pregnant Carmen Castro (Maricel Soriano) informs her cousin Stella (Amy Austria) about her situation. Stella scoffs and recommends abortion. The father of the child, Jerry, also recommends abortion. Her over religious landlady Juling (Charito Solis), who is busy juggling her religious aims and her legal quarrel with the poor families illegally living in her land, however strongly suggests that she keeps the baby as killing it would be a sin against God. Carmen sees signs that would seemingly suggest an answer to her difficult decision. Her poor neighbors struggle for money to feed their children. She sees a physically malformed child vending goods outside the church. She loses her job at a financing company due to the struggling economy during that time. Carmen eventually decides to have an abortion in a deeply moving scene with close up shots of the cold steel utensils used by the doctor to undertake it. The cold steel of the abortion tools and the close up ...Written byGay Pinoy Soldier",movie,,"['young', 'unmarried', 'pregnant', 'carmen', 'maricel_soriano', 'inform', 'cousin', 'stella', 'situation', 'stella', 'scoff', 'recommend', 'abortion', 'father', 'child', 'jerry', 'also', 'recommend', 'abortion', 'religious', 'landlady', 'jule', 'charito', 'busy', 'juggle', 'religious', 'aim', 'legal', 'quarrel', 'poor', 'family', 'illegally', 'live', 'land', 'however', 'strongly', 'suggest', 'keep', 'baby', 'killing', 'sin', 'god', 'carmen', 'see', 'sign', 'seemingly', 'suggest', 'answer', 'difficult', 'decision', 'poor', 'neighbor', 'struggle', 'money', 'feed', 'child', 'see', 'physically', 'malformed', 'child', 'vend', 'good', 'church', 'lose', 'job', 'financing', 'company', 'due', 'struggle', 'economy', 'time', 'carman', 'eventually', 'decide', 'abortion', 'deeply', 'move', 'scene', 'close', 'shot', 'cold', 'steel', 'utensil', 'use', 'doctor', 'undertake', 'cold', 'steel', 'abortion', 'tool', 'close']"
3490,Anna Karenina,2013,Drama,"15 years after their adopted daughter Maggie went missing (and according to a private investigator had died), Don Xernan and Doña Carmela tried to search for their grand daughter, knowing only the name Maggie gave her: Anna Karenina, after her favorite book. In their search, three girls were found to have the name Anna Karenina: Anna, Karen and Nina, all of them having been adopted as babies from the same establishment Maggie was said to have given birth at. The three were invited to stay at the Monteclaro residence while they try to find out which of them is the real grand daughter of the Monteclaros.Written byAnonymous",tv,,"['year', 'adopt', 'daughter', 'maggie', 'go', 'miss', 'accord', 'private', 'investigator', 'doña', 'try', 'search', 'grand', 'daughter', 'know', 'name', 'maggie', 'give', 'favorite', 'book', 'search', 'girl', 'find', 'name', 'anna', 'karenina', 'anna', 'adopt', 'baby', 'establishment', 'maggie', 'say', 'give', 'birth', 'invite', 'stay', 'monteclaro', 'residence', 'find', 'real', 'grand', 'daughter', 'monteclaro']"
3491,Ang manghuhula,2008,Drama,"Messina, an outcast and failed fortuneteller returns to her hometown to save her daughter Claire from a syndicate that aims to exploit her gift of fortune telling. When Messina returns, she finds her daughter caught in debt and the squabble of a petty syndicate running a band of fortunetellers for the unwary, desperate answer-seekers. For years, their hometown has been grooming one great fortuneteller just as they had hailed Dorothea as the town's leader. Dorothea is the grandmother of Claire who appears in her dreams. A helpful fortuneteller named Rachel teaches Messina that the only way to save her daughter is to embrace a gift she has vowed to give up, the ability to see the future no matter how bleak and inescapable.Written byAnonymous",movie,,"['outcast', 'fail', 'fortuneteller', 'return', 'hometown', 'save', 'daughter', 'claire', 'syndicate', 'exploit', 'gift', 'fortune', 'tell', 'return', 'find', 'daughter', 'catch', 'debt', 'squabble', 'petty', 'syndicate', 'run', 'band', 'fortuneteller', 'unwary', 'desperate', 'answerseeker', 'year', 'hometown', 'groom', 'great', 'fortuneteller', 'hail', 'dorothea', 'town', 'leader', 'grandmother', 'appear', 'dream', 'helpful', 'fortuneteller', 'name', 'rachel', 'teach', 'way', 'save', 'daughter', 'embrace', 'gift', 'vow', 'give', 'ability', 'see', 'future', 'matter', 'bleak', 'inescapable']"
3492,Duda,2003,Drama,"After thousands of dates, Cris settled down, met Erik and found love. The two have been together for months now and their relationship is beginning to show signs of falling apart. Cris is constantly wondering over Erik's long work hours and time spent away from home. Doubt has entered their relationship.",movie,,"['thousand', 'date', 'settle', 'meet', 'find', 'love', 'together', 'month', 'relationship', 'begin', 'show', 'sign', 'fall', 'apart', 'cris', 'constantly', 'wonder', 'erik', 'long', 'work', 'hour', 'time', 'spend', 'away', 'home', 'doubt', 'enter', 'relationship']"
3498,Zorro,2009,"Action, Adventure, Drama","Don Diego de la Vega opposes the corrupt tyrants of Spanish California as the masked swordsman, Zorro.",tv,,"['diego', 'vega', 'oppose', 'corrupt', 'tyrant', 'spanish', 'california', 'mask', 'swordsman', 'zorro']"
3500,Black Lipstick,2019,"Drama, Romance","Ikay, a girl stricken with the skin disorder vitiligo, is often described as a living meme within her University. Upon discovering the powers of a magical black lipstick, ""Icky Ikay"" leads a double life as the social media influencer named Jessie. Set in the world of vlogs, dating apps, and live videos - Black Lipstick reimagines the concepts of beauty and acceptance in the age of social media.Written byObra Cinema Film Production",movie,,"['ikay', 'girl', 'stricken', 'skin', 'disorder', 'vitiligo', 'often', 'describe', 'living', 'meme', 'university', 'discover', 'power', 'magical', 'black', 'lipstick', 'icky', 'ikay', 'lead', 'double', 'life', 'social_media', 'influencer', 'name', 'set', 'world', 'vlog', 'date', 'app', 'live', 'video', 'black', 'lipstick', 'reimagine', 'concept', 'beauty', 'acceptance', 'age', 'social_media']"
3503,Working Boys,1985,Comedy,"The wacky trio of Tito, Vic and Joey became a quartet with the addition of the Bagets (1984) film actor, Herbert Bautista. They played jack of all trades and masters of none in this spin off of the film Working Girls (1984).",movie,,"['wacky', 'trio', 'tito', 'vic', 'become', 'quartet', 'addition', 'baget', 'film', 'actor', 'herbert', 'bautista', 'play', 'jack', 'trade', 'master', 'none', 'spin', 'film', 'work', 'girl']"
3508,Villa Estrella,2009,Horror,"How come people who go there are never seen again? Does the villa ""eat"" people alive? The movie tells the story of Ana who has always been having nightmares about certain people getting killed of Madre Na Aswang. Things become scarier when her ex-boyfriend brings her to Villa Estrella where she meets a girl named Gisele who seems to be very familiar to her.Written byAnonymous",movie,"$966,552","['come', 'people', 'go', 'never', 'see', 'villa', 'eat', 'people', 'alive', 'movie', 'tell', 'story', 'ana', 'always', 'nightmare', 'certain', 'people', 'kill', 'na', 'thing', 'become', 'scary', 'exboyfriend', 'bring', 'villa', 'estrella', 'meet', 'girl', 'name', 'gisele', 'seem', 'familiar']"
